                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                     93,                0.80646,                0.87794,                 0.7551,                      1,              0.0003796
                     94,                0.78991,                0.87069,                 0.7483,                      1,               0.000373
                     95,                0.78029,                0.88936,                0.75918,                      1,              0.0003664
                     96,                0.79602,                0.89795,                0.75238,                      1,              0.0003598
                     97,                0.79966,                0.87789,                0.76599,                      1,              0.0003532
                     98,                0.78905,                0.92046,                0.75646,                      1,              0.0003466
                     99,                0.77783,                0.90308,                 0.7483,                      1,                0.00034
                    100,                 0.7964,                0.91928,                0.73878,                      1,              0.0003334
                    101,                0.77055,                0.89142,                0.75782,                      1,              0.0003268
                    102,                0.76912,                 0.9102,                 0.7551,                      1,              0.0003202
                    103,                0.76333,                0.90149,                0.73333,                      1,              0.0003136
                    104,                0.76526,                0.87838,                0.76463,                      1,               0.000307
                    105,                0.79168,                0.91667,                0.74694,                      1,              0.0003004
                    106,                0.76662,                0.86739,                0.77415,                      1,              0.0002938
                    107,                0.77546,                0.86088,                0.76735,                      1,              0.0002872
                    108,                 0.7291,                0.91356,                 0.7483,                      1,              0.0002806
                    109,                0.76928,                0.94478,                0.74422,                      1,               0.000274
                    110,                0.75225,                0.90341,                0.74558,                      1,              0.0002674
                    111,                 0.7456,                0.86668,                0.77007,                      1,              0.0002608
                    112,                 0.7456,                0.87912,                0.76871,                      1,              0.0002542
                    113,                0.74437,                0.88799,                0.77823,                      1,              0.0002476
                    114,                0.75779,                0.91526,                0.76599,                      1,               0.000241
                    115,                0.73353,                0.86261,                0.78231,                      1,              0.0002344
                    116,                0.73267,                0.86086,                0.77143,                      1,              0.0002278
                    117,                0.76205,                0.86838,                0.77551,                      1,              0.0002212
                    118,                0.73088,                0.87039,                0.78095,                      1,              0.0002146
                    119,                0.71129,                0.90278,                0.76599,                      1,               0.000208
                    120,                 0.7055,                 0.9042,                0.76327,                      1,              0.0002014
                    121,                0.71878,                0.88535,                0.77959,                      1,              0.0001948
                    122,                0.73477,                0.90429,                0.76463,                      1,              0.0001882
                    123,                0.72749,                0.89614,                0.76463,                      1,              0.0001816
                    124,                0.72361,                0.88663,                0.76599,                      1,               0.000175
                    125,                0.71179,                0.89978,                0.76735,                      1,              0.0001684
                    126,                0.70841,                 0.9105,                0.77687,                      1,              0.0001618
                    127,                0.69884,                0.89396,                0.78503,                      1,              0.0001552
                    128,                0.69681,                0.88919,                0.77415,                      1,              0.0001486
                    129,                0.68264,                 0.8863,                0.78231,                      1,               0.000142
                    130,                0.72374,                0.90484,                0.77687,                      1,              0.0001354
                    131,                0.69287,                0.90341,                0.77007,                      1,              0.0001288
                    132,                0.69974,                0.89575,                 0.7551,                      1,              0.0001222
                    133,                0.67306,                0.87569,                0.77823,                      1,              0.0001156
                    134,                0.69564,                 0.8789,                0.77279,                      1,               0.000109
                    135,                0.65223,                0.87861,                0.77415,                      1,              0.0001024
                    136,                0.68082,                0.89134,                0.77143,                      1,               9.58e-05
                    137,                  0.688,                0.88863,                0.76599,                      1,               8.92e-05
                    138,                0.68546,                0.89371,                0.77415,                      1,               8.26e-05
                    139,                0.67604,                0.88636,                0.77687,                      1,                7.6e-05
                    140,                0.68112,                0.89513,                0.77415,                      1,               6.94e-05
                    141,                0.66889,                 0.8882,                0.77823,                      1,               6.28e-05
                    142,                0.65132,                0.89331,                0.76871,                      1,               5.62e-05
                    143,                0.67971,                0.88811,                0.77007,                      1,               4.96e-05
                    144,                0.67004,                0.88554,                0.76463,                      1,                4.3e-05
                    145,                0.65334,                0.89503,                0.77279,                      1,               3.64e-05
                    146,                0.64034,                0.88985,                0.76871,                      1,               2.98e-05
                    147,                0.64614,                0.89736,                0.77143,                      1,               2.32e-05
                    148,                0.66196,                0.90024,                0.76871,                      1,               1.66e-05
                    149,                 0.6547,                0.90584,                0.76871,                      1,                  1e-05
